x,y,Label
-0.564664245,-0.212767884,1
-0.559931576,-0.212804154,1
-0.55520016,-0.212912977,1
-0.550471067,-0.213094294,1
-0.545745492,-0.213348076,1
-0.541024566,-0.213674262,1
-0.53630954,-0.214072779,1
-0.531601548,-0.214543507,1
-0.526901782,-0.215086341,1
-0.522211313,-0.215701148,1
-0.517531455,-0.216387779,1
-0.512863219,-0.217146054,1
-0.508207858,-0.21797578,1
-0.503566504,-0.218876779,1
-0.498940259,-0.219848797,1
-0.494330317,-0.22089161,1
-0.489737839,-0.22200495,1
-0.485163957,-0.223188549,1
-0.480609745,-0.224442109,1
-0.476076424,-0.225765318,1
-0.471565038,-0.227157861,1
-0.467076749,-0.228619367,1
-0.462612659,-0.230149493,1
-0.458173871,-0.231747866,1
-0.453761488,-0.233414069,1
-0.449376613,-0.2351477,1
-0.445020318,-0.236948326,1
-0.440693676,-0.238815501,1
-0.436397821,-0.240748763,1
-0.432133734,-0.242747635,1
-0.42790252,-0.244811609,1
-0.42370522,-0.246940196,1
-0.419542879,-0.249132842,1
-0.415416509,-0.251389027,1
-0.411327183,-0.253708184,1
-0.407275856,-0.256089717,1
-0.403263569,-0.25853309,1
-0.399291277,-0.261037618,1
-0.395360023,-0.263602763,1
-0.39147073,-0.266227812,1
-0.387624413,-0.268912166,1
-0.383821964,-0.271655142,1
-0.380064368,-0.274456054,1
-0.376352578,-0.277314246,1
-0.372687459,-0.280228943,1
-0.369069934,-0.283199459,1
-0.365500927,-0.28622508,1
-0.361981302,-0.289305031,1
-0.358511955,-0.292438537,1
-0.355093688,-0.295624822,1
-0.351727426,-0.298863113,1
-0.348413944,-0.302152604,1
-0.345154107,-0.305492491,1
-0.341948688,-0.308881909,1
-0.338798493,-0.312320054,1
-0.335704327,-0.315806031,1
-0.332666934,-0.319339037,1
-0.329687059,-0.322918147,1
-0.326765448,-0.326542497,1
-0.323902816,-0.330211163,1
-0.321099907,-0.33392328,1
-0.318357408,-0.337677866,1
-0.315675974,-0.341474056,1
-0.31305626,-0.345310837,1
-0.310498983,-0.349187344,1
-0.308004707,-0.353102535,1
-0.305574059,-0.357055485,1
-0.303207695,-0.361045212,1
-0.300906152,-0.365070701,1
-0.298669994,-0.369130969,1
-0.296499819,-0.373225003,1
-0.294396132,-0.37735182,1
-0.292359442,-0.381510347,1
-0.290390313,-0.38569957,1
-0.288489193,-0.389918476,1
-0.286656529,-0.394165993,1
-0.284892827,-0.398441076,1
-0.283198506,-0.402742654,1
-0.281573951,-0.407069683,1
-0.280019611,-0.41142109,1
-0.278535873,-0.415795743,1
-0.277123064,-0.420192629,1
