x,y,z,Label
9.997,10.001,10.1,1
10.029,9.9644,9.9111,1
9.99,10.048,10.087,1
9.9827,10.014,10.098,1
9.9208,10.008,9.9394,1
9.9949,9.9359,9.9234,1
9.9262,9.9492,9.9556,1
9.9304,9.9377,10.036,1
10.0,10.0,9.9,1
9.9568,9.9433,10.07,1
10.019,9.9583,10.089,1
9.9155,9.9494,10.017,1
10.044,10.082,9.9643,1
9.9742,10.011,9.9041,1
9.9984,10.099,10.011,1
10.011,9.9884,9.9013,1
10.062,9.9839,10.077,1
9.9691,9.9465,9.9214,1
10.054,9.9966,10.084,1
9.9707,9.9893,10.095,1
9.9556,9.9104,9.9984,1
9.9829,10.03,9.906,1
10.074,10.024,10.063,1
10.02,10.084,10.05,1
9.9928,9.9792,9.9025,1
9.9973,10.019,9.9018,1
10.01,10.088,10.047,1
9.9988,9.9266,9.9321,1
10.041,10.09,9.9889,1
9.9428,10.075,10.033,1
9.9942,9.9975,10.1,1
10.094,10.018,9.9703,1
10.018,9.9941,10.098,1
9.9769,10.083,9.95,1
10.056,9.9464,9.9369,1
9.9676,10.094,10.014,1
9.9629,10.001,10.093,1
10.029,10.094,9.9826,1
9.929,10.026,9.9345,1
10.074,9.9375,9.9764,1
9.9143,10.044,10.027,1
10.073,10.0,10.068,1
9.9629,10.043,9.9176,1
9.9845,9.963,9.9084,1
10.02,9.9191,10.055,1
9.9205,9.9975,10.061,1
10.012,10.032,10.094,1
10.08,9.9846,10.058,1
9.9171,10.019,9.9473,1
9.9906,10.002,10.1,1
9.9873,9.9395,10.079,1
9.9672,10.049,10.081,1
10.017,9.9016,9.9952,1
10.011,9.9938,9.9008,1
10.0,10.0,10.1,1
10.054,10.075,9.9614,1
10.066,10.063,10.042,1
9.9617,10.034,10.086,1
10.006,10.0,9.9002,1
9.9875,9.9128,9.9528,1
9.9925,9.9728,10.096,1
9.9428,10.034,9.9255,1
9.9979,9.9976,9.9001,1
10.086,9.959,10.03,1
9.9719,10.029,10.092,1
9.9416,9.9407,9.9446,1
9.9045,9.9784,10.02,1
9.9296,9.9887,9.9299,1
10.018,9.9746,9.905,1
10.038,10.021,10.09,1
10.077,10.049,9.9585,1
10.052,9.9159,9.9858,1
10.037,10.046,9.9195,1
10.035,9.9086,9.9795,1
10.022,9.9278,10.065,1
10.004,10.094,9.9673,1
10.062,10.03,9.9276,1
9.9044,9.9719,10.008,1
9.999,10.013,10.099,1
9.9644,10.085,10.039,1
10.023,10.037,9.9097,1
9.9516,9.9954,9.9126,1
10.077,10.064,10.005,1
10.003,10.016,10.099,1
10.03,9.978,9.9072,1
10.011,9.9009,9.9921,1
10.023,9.9907,9.9032,1
9.9555,10.031,9.9159,1
10.068,10.073,10.002,1
9.9476,9.9588,10.075,1
9.9694,10.062,10.072,1
10.009,9.9988,9.9005,1
10.004,9.9151,10.053,1
10.048,9.9693,10.082,1
9.9143,9.9558,9.9734,1
10.041,10.03,9.9142,1
10.025,10.003,10.097,1
10.097,10.0,10.024,1
9.9504,9.9254,10.044,1
10.076,10.03,9.942,1
9.9356,10.006,10.088,1
10.002,9.9595,10.101,1
9.9314,10.07,10.048,1
9.9241,9.9321,10.039,1
10.092,9.9489,10.029,1
9.9035,10.015,9.9516,1
10.104,9.973,9.9811,1
9.9341,10.076,9.9579,1
10.052,10.01,9.9047,1
9.9749,10.011,10.106,1
10.106,9.9865,10.022,1
9.9409,9.9111,9.9777,1
10.017,9.9562,9.9015,1
9.9985,9.9897,9.8914,1
10.014,10.031,10.104,1
10.052,9.9039,10.002,1
9.9559,9.9111,10.045,1
9.9329,9.9936,10.086,1
10.053,10.05,10.081,1
10.065,9.92,9.9643,1
10.098,10.039,10.026,1
10.013,9.9455,10.094,1
9.9984,9.9794,10.107,1
9.9296,10.063,9.9455,1
9.9758,10.036,10.1,1
9.9039,10.003,9.9485,1
9.97,10.007,9.8953,1
10.0,10.0,9.8909,1
10.054,9.9245,9.9425,1
9.9898,10.049,9.903,1
9.9995,10.003,10.109,1
10.009,9.9227,10.077,1
10.059,9.9963,10.092,1
10.002,10.014,9.8918,1
9.956,10.035,9.9064,1
10.021,9.9824,9.8944,1
9.9819,9.9568,10.099,1
9.9491,9.9412,9.9235,1
10.093,9.9626,10.042,1
10.026,9.9834,10.105,1
9.9458,9.9061,9.9879,1
10.082,9.9729,10.066,1
9.9867,9.9961,10.108,1
9.9858,10.01,10.108,1
10.044,10.054,9.9164,1
9.9927,10.092,10.058,1
9.9218,9.9823,9.926,1
10.031,9.9854,9.8964,1
10.0,10.0,10.109,1
9.997,9.9982,9.891,1
9.9418,9.9235,10.052,1
10.108,10.0,10.016,1
10.051,9.9447,9.921,1
10.031,10.043,10.095,1
10.005,10.02,9.8929,1
9.9754,10.071,10.079,1
9.9657,10.082,10.063,1
10.004,9.9906,10.109,1
10.005,10.105,9.9709,1
10.057,9.9087,10.019,1
10.07,10.058,9.9396,1
10.072,9.9315,9.9547,1
10.109,10.007,9.9983,1
